[125, 137, 133, 85, 86, 0]
[125, 137, 133, 85, 86, 0]
[124, 137, 133, 85, 85, 0]
[123, 137, 133, 85, 85, 0]
[123, 137, 133, 85, 85, 0]
[123, 137, 133, 85, 86, 0]
[123, 137, 134, 85, 87, 0]
[125, 138, 135, 85, 89, 0]
[126, 138, 136, 85, 91, 0]
[127, 137, 137, 85, 93, 0]
[128, 136, 137, 85, 95, 0]
[128, 135, 137, 85, 98, 0]
[128, 134, 137, 85, 99, 0]
[128, 133, 136, 86, 101, 0]
[128, 133, 136, 86, 103, 0]
[128, 134, 135, 86, 106, 0]
[127, 133, 134, 86, 108, 0]
[127, 134, 133, 86, 109, 0]
[124, 133, 131, 85, 111, 0]
[122, 133, 129, 85, 114, 0]
[120, 134, 127, 85, 117, 0]
[121, 134, 126, 85, 118, 0]
[124, 136, 126, 86, 120, 0]
[125, 137, 126, 87, 123, 0]
[127, 140, 126, 88, 125, 0]
[131, 142, 126, 89, 127, 0]
[133, 145, 127, 90, 130, 0]
[136, 146, 127, 91, 131, 0]
[135, 145, 125, 89, 132, 0]
[137, 145, 124, 90, 133, 0]
[137, 145, 124, 90, 135, 0]
[138, 145, 123, 90, 136, 0]
[137, 144, 122, 89, 137, 0]
[137, 145, 121, 89, 138, 0]
[135, 141, 116, 84, 140, 0]
[136, 140, 115, 84, 143, 0]
[133, 137, 114, 83, 141, 0]
[134, 138, 116, 84, 138, 0]
[135, 140, 119, 85, 135, 0]
[133, 138, 119, 84, 133, 0]
[129, 139, 122, 85, 131, 0]
[126, 135, 121, 84, 128, 0]
[126, 135, 121, 84, 128, 0]
[126, 135, 121, 84, 128, 0]
[124, 132, 121, 82, 126, 0]
[123, 132, 123, 84, 124, 0]
[125, 133, 125, 85, 122, 0]
[124, 134, 126, 85, 120, 0]
[122, 133, 128, 85, 118, 0]
[124, 133, 129, 85, 116, 0]
[126, 134, 131, 85, 114, 0]
[128, 134, 133, 84, 111, 0]
[129, 134, 134, 84, 109, 0]
[129, 134, 134, 84, 107, 0]
[129, 133, 134, 83, 105, 0]
[129, 135, 135, 83, 102, 0]
[129, 136, 135, 83, 98, 0]
[128, 137, 135, 84, 96, 0]
[128, 138, 135, 84, 94, 0]
[126, 138, 133, 84, 91, 0]
[125, 138, 133, 85, 88, 0]
[125, 139, 133, 86, 86, 0]
[124, 139, 132, 86, 85, 0]
[123, 138, 132, 86, 83, 0]
[123, 138, 131, 86, 82, 0]
[123, 138, 131, 86, 82, 0]
[123, 138, 132, 86, 82, 0]
[123, 138, 131, 86, 82, 0]
[123, 138, 131, 86, 82, 0]
