[105, 148, 83, 47, 0, 2]
[104, 148, 83, 47, 0, 2]
[105, 148, 83, 47, 119, 2]
[105, 148, 83, 47, 119, 2]
[106, 149, 83, 47, 120, 2]
[106, 150, 83, 45, 121, 2]
[106, 151, 83, 45, 122, 2]
[107, 152, 83, 45, 123, 2]
[104, 150, 79, 41, 125, 2]
[104, 150, 79, 41, 126, 2]
[105, 151, 79, 41, 127, 2]
[104, 150, 78, 41, 128, 2]
[102, 149, 76, 40, 128, 2]
[103, 150, 75, 39, 129, 2]
[103, 151, 75, 40, 130, 2]
[104, 151, 75, 39, 132, 2]
[104, 151, 74, 38, 134, 2]
[104, 151, 74, 38, 136, 2]
[105, 151, 74, 38, 137, 2]
[105, 151, 74, 38, 138, 2]
[105, 152, 74, 39, 139, 2]
[106, 152, 75, 39, 140, 2]
[107, 152, 75, 39, 141, 2]
[108, 153, 74, 39, 141, 2]
[108, 153, 74, 39, 142, 2]
[108, 152, 74, 39, 144, 2]
[108, 152, 74, 39, 144, 2]
[107, 152, 74, 40, 145, 2]
[107, 151, 74, 40, 147, 2]
[107, 151, 74, 42, 148, 2]
[107, 150, 74, 43, 149, 2]
[106, 149, 74, 43, 150, 2]
[107, 150, 75, 44, 150, 2]
[107, 150, 75, 44, 150, 2]
[107, 151, 75, 44, 150, 2]
[107, 152, 76, 43, 150, 2]
[108, 152, 75, 42, 148, 2]
[108, 151, 75, 41, 147, 2]
[108, 153, 76, 41, 145, 2]
[109, 153, 75, 40, 144, 2]
[108, 152, 75, 39, 143, 2]
[107, 152, 74, 39, 143, 2]
[106, 151, 74, 39, 142, 2]
[105, 151, 74, 38, 140, 2]
[106, 152, 74, 38, 138, 2]
[103, 150, 73, 37, 135, 2]
[104, 150, 73, 37, 133, 2]
[104, 150, 74, 38, 133, 2]
[104, 150, 74, 39, 132, 2]
[104, 147, 73, 38, 131, 2]
[103, 145, 73, 38, 130, 2]
[103, 144, 73, 38, 128, 2]
[103, 144, 73, 38, 127, 2]
[104, 143, 73, 38, 127, 2]
[106, 142, 72, 38, 126, 2]
[107, 144, 73, 39, 126, 2]
[109, 144, 74, 40, 126, 2]
[110, 145, 75, 40, 125, 2]
[111, 145, 75, 41, 124, 2]
[111, 144, 75, 40, 123, 2]
[112, 144, 75, 41, 123, 2]
[112, 144, 76, 41, 123, 2]
[111, 146, 79, 43, 121, 2]
[111, 146, 80, 44, 120, 2]
[111, 146, 81, 45, 119, 2]
[109, 145, 82, 46, 119, 2]
[109, 145, 82, 47, 118, 2]
[109, 145, 82, 47, 118, 2]
[109, 145, 82, 47, 118, 2]
[109, 145, 82, 47, 118, 2]
